Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
acer,notebook,15 3/5,full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,256gb ssd,nvidia geforce mx130,windows 10,7.2kg,30476.16
acer,notebook,17 1/3,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,1tb hdd,nvidia geforce mx130,windows 10,3kg,34898.4
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,windows 10,2.1kg,23816.16
acer,notebook,17 1/3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,256gb ssd,nvidia geforce mx150,windows 10,3kg,42890.4
acer,notebook,15 3/5,1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,windows 10,2.1kg,18541.44
acer,notebook,15 3/5,1366x768,intel pentium quad core n4200 1.1ghz,4gb,1tb hdd,intel hd graphics 505,windows 10,2.1kg,19367.8128
acer,notebook,17 1/3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,nvidia geforce mx150,windows 10,3kg,45501.12
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,2.1kg,23922.72
acer,ultrabook,13 1/3,ips panel full hd 1920x1080,intel core i5 7y54 1.2ghz,8gb,256gb ssd,intel hd graphics 615,windows 10,1.12kg,52693.92
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,1tb hdd,nvidia geforce 940mx,windows 10,2.23kg,39533.76
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,linux,2.4kg,41505.12
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,2.2kg,44328.96
acer,2 in 1 convertible,13 1/3,ips panel full hd / touchscreen 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows 10,1.6kg,36709.92
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,linux,2.1kg,20779.2
acer,gaming,15 3/5,ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows 10,2.5kg,45074.88
acer,notebook,17 1/3,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4gb,256gb ssd,nvidia geforce mx130,windows 10,3kg,37402.56
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,1tb hdd,nvidia geforce mx130,windows 10,2.2kg,39693.6
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,nvidia geforce mx150,windows 10,3kg,50669.28
acer,notebook,15 3/5,ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,1tb hdd,intel hd graphics 620,windows 10,2.15kg,35111.52
acer,notebook,15 3/5,1366x768,intel celeron dual core 3205u 1.5ghz,2gb,16gb ssd,intel hd graphics,chrome os,2.19kg,10602.72
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050 ti,linux,2.5kg,52161.12
acer,notebook,15 3/5,full hd 1920x1080,amd a8-series 7410 2.2ghz,8gb,256gb ssd,amd radeon r5,windows 10,2.23kg,24988.32
acer,notebook,11 3/5,1366x768,intel pentium quad core n3710 1.6ghz,4gb,128gb flash storage,intel hd graphics 405,windows 10,1.4kg,25840.8
acer,notebook,15 3/5,1366x768,amd a12-series 9720p 2.7ghz,8gb,256gb ssd,amd radeon rx 540,windows 10,2.2kg,35111.52
acer,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,6gb,1tb hdd,intel hd graphics 620,windows 10,8.23kg,29250.72
acer,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,128gb ssd,amd radeon r5,windows 10,2.1kg,22697.28
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,linux,2.4kg,45074.88
acer,notebook,15 3/5,ips panel 1366x768,intel core i5 8250u 1.6ghz,12gb,1tb hdd,nvidia geforce mx130,windows 10,2.2kg,36975.7872
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050,linux,2.5kg,46833.12
acer,2 in 1 convertible,13 1/3,ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows 10,1.6kg,42038.4528
acer,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,linux,2.4kg,23539.104
acer,notebook,15 3/5,full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,nvidia geforce 940mx,windows 10,2.23kg,28984.32
acer,netbook,11 3/5,1366x768,intel celeron dual core n3060 1.6ghz,4gb,128gb ssd,intel hd graphics 400,windows 10,1.4kg,23176.8
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,nvidia geforce gtx 940mx,windows 10,2.2kg,24988.32
acer,notebook,15 3/5,1366x768,amd a10-series 9620p 2.5ghz,8gb,1tb hdd,amd radeon rx 540,windows 10,2.2kg,30849.12
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,1tb hdd,nvidia geforce mx150,windows 10,2.2kg,32660.64
acer,notebook,15 3/5,full hd 1920x1080,intel core i7 7500u 2.7ghz,4gb,500gb hdd,nvidia geforce 940mx,windows 10,2.2kg,34045.92
acer,gaming,15 3/5,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,1tb hdd,nvidia geforce gtx 1050,linux,2.4kg,42517.44
acer,2 in 1 convertible,11 3/5,ips panel full hd / touchscreen 1920x1080,intel celeron dual core n3350 2.0ghz,4gb,32gb flash storage,intel hd graphics 500,windows 10,1.25kg,18594.72
acer,notebook,14,full hd 1920x1080,intel celeron quad core n3450 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows 10,1.6kg,17529.12
acer,notebook,14,1366x768,intel pentium quad core n3710 1.6ghz,4gb,128gb flash storage,intel hd graphics 405,windows 10,1.6kg,18594.72
acer,2 in 1 convertible,11 3/5,ips panel touchscreen 1366x768,intel celeron quad core n3160 1.6ghz,4gb,32gb flash storage,intel hd graphics 400,chrome os,1.25kg,20193.12
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows 10,2.4kg,23976
acer,ultrabook,14,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel graphics 620,windows 10,1.8kg,48964.32
acer,gaming,15 3/5,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,1tb hdd,nvidia geforce gtx 1050,linux,2.4kg,37775.52
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,128gb ssd,intel hd graphics 520,linux,2.1kg,21951.36
acer,gaming,15 3/5,full hd 1920x1080,intel core i5 7300hq 2.5ghz,16gb,256gb ssd,nvidia geforce gtx 1050 ti,windows 10,2.5kg,69210.72
acer,notebook,14,1366x768,intel celeron dual core 3855u 1.6ghz,4gb,32gb flash storage,intel hd graphics 510,chrome os,1.45kg,19980
acer,netbook,11 3/5,1366x768,intel celeron dual core n3050 1.6ghz,4gb,32gb flash storage,intel hd graphics,windows 10,1.4kg,14332.32
acer,2 in 1 convertible,13 1/3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,1gb,256gb ssd,intel uhd graphics 620,windows 10,1.6kg,53226.72
acer,gaming,17 1/3,ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows 10,4.2kg,103096.8
acer,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows 10,2.4kg,29783.52
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2ghz,4gb,500gb hdd,intel hd graphics 520,windows 10,2.4kg,21887.424
acer,notebook,14,1366x768,intel celeron dual core n3060 1.6ghz,2gb,32gb flash storage,intel hd graphics 400,chrome os,1.68kg,17582.4
acer,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows 10,2.1kg,31914.72
acer,notebook,13 1/3,1366x768,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows 10,1.6kg,34898.4
acer,notebook,15 3/5,1366x768,intel pentium quad core n4200 1.1ghz,4gb,1tb hdd,intel hd graphics 505,linux,2.1kg,15877.44
acer,notebook,14,ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,4gb,128gb ssd,intel hd graphics 620,windows 10,1.8kg,33886.08
acer,gaming,17 1/3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows 10,4.2kg,122490.72
acer,netbook,11 3/5,ips panel 1366x768,intel celeron dual core n3060 1.6ghz,4gb,32gb flash storage,intel hd graphics 400,chrome os,1.35kg,18914.4
acer,notebook,14,ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,8gb,128gb ssd,intel hd graphics 620,windows 10,1.5kg,32980.32
acer,notebook,14,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.56kg,48058.56
acer,netbook,11 3/5,ips panel 1366x768,intel celeron dual core n3060 1.6ghz,4gb,32gb flash storage,intel hd graphics 400,chrome os,1.25kg,15824.16
acer,notebook,15 3/5,ips panel full hd 1920x1080,intel celeron dual core 3205u 1.5ghz,4gb,16gb flash storage,intel hd graphics,chrome os,2.20kg,19127.52
acer,notebook,15 3/5,full hd 1920x1080,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2.4kg,26586.72
acer,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows 10,2.23kg,32980.32
acer,notebook,14,1366x768,intel celeron dual core n3060 1.6ghz,4gb,32gb flash storage,intel hd graphics 400,chrome os,1.68kg,18594.72
acer,2 in 1 convertible,11 3/5,ips panel touchscreen 1366x768,intel celeron dual core n3060 1.6ghz,4gb,32gb flash storage,intel hd graphics 400,chrome os,1.25kg,20725.92
acer,notebook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,12gb,128gb ssd +  1tb hdd,nvidia geforce gtx 950m,windows 10,2.4kg,53759.52
acer,notebook,15 3/5,1366x768,intel pentium quad core n4200 1.1ghz,4gb,500gb hdd,intel hd graphics 505,windows 10,2.4kg,20246.4
acer,gaming,15 3/5,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows 10,2.7kg,67132.8
acer,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,6gb,1tb hdd,amd radeon r5,windows 10,2.1kg,21791.52
acer,notebook,15 3/5,1366x768,amd a8-series 7410 2.2ghz,8gb,1tb hdd,amd radeon r5,windows 10,2.4kg,23922.72
acer,notebook,15 3/5,1366x768,amd a8-series 7410 2.2ghz,4gb,500gb hdd,amd radeon r5,windows 10,2.4kg,20619.36
acer,notebook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd +  1tb hdd,nvidia geforce gtx 950m,windows 10,2.4kg,42570.72
acer,notebook,15 3/5,1366x768,intel celeron dual core 3205u 1.5ghz,4gb,16gb ssd,intel hd graphics,chrome os,2.20kg,11135.52
acer,notebook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,1tb hdd,nvidia geforce 940mx,windows 10,2.23kg,32820.48
acer,notebook,15 3/5,1366x768,intel celeron dual core n3350 2ghz,4gb,500gb hdd,intel hd graphics 500,windows 10,2.1kg,17742.24
acer,notebook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,nvidia geforce 940mx,windows 10,2.23kg,36816.48
acer,gaming,17 1/3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows 10,4.2kg,138474.72
acer,notebook,15 3/5,1366x768,intel celeron dual core n3350 2ghz,4gb,1tb hdd,intel hd graphics 500,linux,2.1kg,14492.16
acer,notebook,17 1/3,1600x900,intel core i3 6006u 2.0ghz,8gb,1tb hdd,nvidia geforce 940mx,windows 10,3.3kg,33513.12
acer,netbook,11 3/5,1366x768,intel celeron dual core 3205u 1.5ghz,2gb,32gb ssd,intel hd graphics,chrome os,1.3kg,9270.72
acer,notebook,17 1/3,1600x900,intel core i3 6006u 2ghz,4gb,1tb hdd,nvidia geforce 940mx,windows 10,3.3kg,31861.44
acer,2 in 1 convertible,14,ips panel full hd / touchscreen 1920x1080,intel core i7 7y75 1.3ghz,8gb,256gb ssd,intel hd graphics 615,windows 10,1.2kg,61218.72
acer,notebook,15 3/5,1366x768,intel core i3 6006u 2.0ghz,4gb,500gb hdd,intel hd graphics 520,linux,2.4kg,19276.704
acer,notebook,15 3/5,1366x768,intel celeron dual core n3060 1.6ghz,4gb,500gb hdd,intel hd graphics 400,linux,2.4kg,15397.92
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 2.3ghz,8gb,128gb ssd,intel iris plus graphics 640,macos,1.37kg,71378.6832
apple,ultrabook,13 1/3,1440x900,intel core i5 1.8ghz,8gb,128gb flash storage,intel hd graphics 6000,macos,1.34kg,47895.5232
apple,ultrabook,15 2/5,ips panel retina display 2880x1800,intel core i7 2.7ghz,16gb,512gb ssd,amd radeon pro 455,macos,1.83kg,135195.336
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 3.1ghz,8gb,256gb ssd,intel iris plus graphics 650,macos,1.37kg,96095.808
apple,ultrabook,15 2/5,ips panel retina display 2880x1800,intel core i7 2.2ghz,16gb,256gb flash storage,intel iris pro graphics,mac os x,2.04kg,114017.6016
apple,ultrabook,13 1/3,1440x900,intel core i5 1.8ghz,8gb,256gb flash storage,intel hd graphics 6000,macos,1.34kg,61735.536
apple,ultrabook,15 2/5,ips panel retina display 2880x1800,intel core i7 2.8ghz,16gb,256gb ssd,amd radeon pro 555,macos,1.83kg,130001.6016
apple,ultrabook,12,ips panel retina display 2304x1440,intel core m m3 1.2ghz,8gb,256gb ssd,intel hd graphics 615,macos,0.92kg,67260.672
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 2.3ghz,8gb,256gb ssd,intel iris plus graphics 640,macos,1.37kg,80908.344
apple,ultrabook,15 2/5,ips panel retina display 2880x1800,intel core i7 2.9ghz,16gb,512gb ssd,amd radeon pro 560,macos,1.83kg,152274.24
apple,ultrabook,13 1/3,1440x900,intel core i5 1.6ghz,8gb,128gb flash storage,intel hd graphics 6000,mac os x,1.35kg,58554.72
apple,ultrabook,13 1/3,1440x900,intel core i5 1.6ghz,8gb,256gb flash storage,intel hd graphics 6000,mac os x,1.35kg,53173.44
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 2.0ghz,8gb,256gb ssd,intel iris graphics 540,macos,1.37kg,75604.32
apple,ultrabook,12,ips panel retina display 2304x1440,intel core i5 1.3ghz,8gb,512gb ssd,intel hd graphics 615,macos,0.92kg,80452.8
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 3.1ghz,8gb,512gb ssd,intel iris plus graphics 650,macos,1.37kg,108691.2
apple,ultrabook,13 1/3,ips panel retina display 2560x1600,intel core i5 2.9ghz,8gb,512gb ssd,intel iris graphics 550,macos,1.37kg,104370.192
apple,ultrabook,12,ips panel retina display 2304x1440,intel core m 1.2ghz,8gb,512gb flash storage,intel hd graphics 5300,mac os x,0.920kg,62071.2
apple,ultrabook,12,ips panel retina display 2304x1440,intel core m 1.1ghz,8gb,256gb flash storage,intel hd graphics 515,mac os x,0.920kg,69264
apple,ultrabook,12,ips panel retina display 2304x1440,intel core m 1.1ghz,8gb,256gb flash storage,intel hd graphics 5300,mac os x,0.920kg,61964.64
apple,ultrabook,12,ips panel retina display 2304x1440,intel core m 1.2ghz,8gb,512gb flash storage,intel hd graphics 515,mac os x,0.920kg,68145.12
apple,ultrabook,11 3/5,1366x768,intel core i5 1.6ghz,4gb,256gb flash storage,intel hd graphics 6000,mac os x,1.08kg,51095.52
asus,ultrabook,14,full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,512gb ssd,nvidia geforce mx150,windows 10,1.3kg,79653.6
asus,notebook,14,1366x768,amd e-series e2-6110 1.5ghz,2gb,32gb flash storage,amd radeon r2,windows 10,1.65kg,10602.72
asus,notebook,15 3/5,full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 620,linux,2kg,20725.92
asus,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,8gb,1tb hdd,nvidia geforce 940mx,linux,2.3kg,27864.9072
asus,gaming,17 1/3,full hd 1920x1080,amd ryzen 1700 3ghz,8gb,256gb ssd +  1tb hdd,amd radeon rx 580,windows 10,3.2kg,69210.72
asus,notebook,17 1/3,1366x768,intel pentium quad core n4200 1.1ghz,4gb,1tb hdd,nvidia geforce 920mx,windows 10,2.8kg,24828.48
asus,notebook,15 3/5,1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows 10,2kg,31232.2032
asus,notebook,15 3/5,full hd 1920x1080,intel core i3 6006u 2ghz,4gb,256gb ssd,intel hd graphics 520,linux,2kg,22111.2
asus,notebook,14,full hd 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.4kg,50136.48
asus,ultrabook,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce gtx 1050 ti,windows 10,1.8kg,105654.24
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,12gb,1tb hdd,nvidia geforce gtx 1050 ti,linux,3kg,50562.72
asus,gaming,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows 10,2.2kg,50562.72
asus,gaming,15 3/5,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows 10,2.2kg,77202.72
asus,gaming,15 3/5,full hd 1920x1080,amd fx 9830p 3ghz,8gb,1tb hdd,amd radeon rx 560,windows 10,2.45kg,37242.72
asus,ultrabook,14,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.25kg,55890.72
asus,notebook,15 3/5,full hd 1920x1080,intel core i3 7100u 2.4ghz,6gb,256gb ssd,nvidia geforce 920m,windows 10,2kg,30742.56
asus,ultrabook,14,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,1.3kg,63563.04
asus,ultrabook,15 3/5,full hd 1920x1080,intel core i7 8550u 1.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce mx150,windows 10,1.5kg,67239.36
asus,notebook,17 1/3,full hd 1920x1080,intel core i3 6006u 2ghz,4gb,1tb hdd,nvidia geforce 920mx,windows 10,2kg,30049.92
asus,notebook,15 3/5,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,1.7kg,59567.04
asus,notebook,14,1366x768,amd e-series 6110 1.5ghz,4gb,64gb ssd,amd radeon r2,windows 10 s,1.65kg,14811.3072
asus,gaming,17 1/3,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows 10,3kg,49976.64
asus,ultrabook,14,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,256gb ssd,intel uhd graphics 620,windows 10,1.25kg,58554.72
asus,notebook,15 3/5,full hd 1920x1080,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,windows 10,2kg,18328.32
asus,2 in 1 convertible,13 1/3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,1.1kg,70063.2
asus,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,1tb hdd,amd radeon r5 m420,windows 10,2.03kg,21471.84
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows 10,2.9kg,74964.96
asus,notebook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 920mx,windows 10,2kg,40972.32
asus,notebook,17 1/3,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd +  500gb hdd,nvidia geforce gtx 950m,windows 10,2.69kg,47472.48
asus,notebook,15 3/5,1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows 10,2.37kg,21258.1872
asus,notebook,15 3/5,full hd 1920x1080,amd a10-series a10-9620p 2.5ghz,4gb,128gb ssd +  1tb hdd,amd radeon r5 m430,windows 10,2.2kg,30636
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7820hk 2.9ghz,32gb,512gb ssd +  1tb hdd,nvidia geforce gtx 1080,windows 10,4.7kg,207259.2
asus,notebook,17 1/3,full hd 1920x1080,intel core i7 8550u 1.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce 150mx,windows 10,2.1kg,61005.6
asus,notebook,17 1/3,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 950m,no os,2.69kg,47365.92
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7820hk 2.9ghz,16gb,256gb ssd,nvidia geforce gtx 1080,windows 10,3.6kg,159786.72
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 980m,windows 10,4.3kg,95850.72
asus,notebook,15 3/5,1366x768,amd a9-series 9420 3ghz,4gb,1tb hdd,amd radeon r5 m420,windows 10,1.68kg,24988.32
asus,2 in 1 convertible,13 1/3,full hd / touchscreen 1920x1080,intel core i7 8550u 1.8ghz,8gb,512gb ssd +  512gb ssd,intel uhd graphics 620,windows 10,4.1kg,79866.72
asus,gaming,17 1/3,full hd 1920x1080,amd ryzen 1700 3ghz,16gb,256gb ssd +  1tb hdd,amd radeon rx 580,windows 10,3.2kg,82530.72
asus,ultrabook,15 3/5,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,1.7kg,52054.56
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,1tb hdd,nvidia geforce gtx 1050,windows 10,3kg,63243.36
asus,ultrabook,15 3/5,full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,nvidia geforce 940mx,windows 10,1.63kg,78215.04
asus,notebook,14,1366x768,intel core i3 7100u 2.4ghz,4gb,128gb ssd,intel hd graphics 620,windows 10,1.3kg,27119.52
asus,gaming,17 1/3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows 10,2.9kg,113060.16
asus,gaming,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows 10,2.5kg,67399.2
asus,2 in 1 convertible,11 3/5,touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,2gb,32gb flash storage,intel hd graphics 500,windows 10,1.1kg,14652
asus,notebook,14,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,2kg,58288.32
asus,ultrabook,15 3/5,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows 10,1.7kg,55938.672
asus,notebook,14,full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd +  1tb hdd,intel hd graphics 620,windows 10,2kg,71075.52
asus,gaming,15 3/5,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd,nvidia geforce gtx 1050,windows 10,2.5kg,53226.72
asus,notebook,15 3/5,1366x768,intel celeron dual core n3350 1.1ghz,4gb,1tb hdd,intel hd graphics 500,linux,2kg,14651.4672
asus,2 in 1 convertible,11 3/5,touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows 10,1.5kg,19980
asus,notebook,14,full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows 10,2kg,50349.6
asus,2 in 1 convertible,15 3/5,full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,512gb ssd +  2tb hdd,nvidia geforce gt 940mx,windows 10,2.26kg,58554.72
asus,gaming,17 1/3,ips panel full hd 1920x1080,amd ryzen 1700 3ghz,16gb,256gb ssd +  1tb hdd,amd radeon rx 580,windows 10,3.25kg,117162.72
